station,agency,station_type,vertical_datum,park,lat_nad83,long_nad83,ground_surface_elevation_ft,basin,NGVD29_NAVD88_conversion,comments
3AS3W4,SFWMD,,,,25.85492,-80.76944,,WCA3A,-1.496,
3AS3WX,SFWMD,weather,,,25.8517,-80.7663,,,,
3ASW,SFWMD,,,,25.98825,-80.83611,,WCA3A,-1.463,
3B2,USGS,,NGVD29,,25.88326,-80.55666,6.8,WCA3B,-1.526,
3B29,SFWMD,,,,25.86965,-80.48583,6.4,WCA3B,-1.539,
3B3,USGS,,,,26.00631,-80.4825,,WCA3B,-1.503,
3BS1W1,SFWMD,,,,25.77882,-80.51139,6.04,WCA3B,-1.555,
3BS1W2,SFWMD,,,,25.7791,-80.50695,6.04,WCA3B,-1.555,
3BS1W3,SFWMD,,,,25.77271,-80.50945,5.86,WCA3B,-1.558,
3BS1W4,SFWMD,,,,25.77743,-80.50972,6.04,WCA3B,-1.555,
3BSE,SFWMD,,,,25.78631,-80.49972,5.7,WCA3B,-1.555,
40_MILE_BEND,USGS,,NGVD29,,25.763889,-80.830556,,WCA3A,-1.496,USGS index gage for Miami to Monroe - Disc 1980
951EXT,SFWMD,weather,,,26.30258333,-81.68838889,,,,
A13,NPS_ENP,marsh,NGVD29,Everglades National,25.4955,-80.7095,4.59,Rocky_Glades,-1.545,Lat/Long update Kahn GPS 2013-02-11
A13_nexrad,SFWMD_synthetic,Synthetic,,,25.50599,-80.71701,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10033585
A2,USGS_BRD,study,,Everglades National,25.41723,-80.66394,,Long_Pine_Key,-1.558,
A3,USGS_BRD,study,,Everglades National,25.41723,-80.66394,,Long_Pine_Key,-1.558,
A4,USGS_BRD,study,,,25.43323,-80.73357,,Rocky_Glades,-1.545,
A5,USGS_BRD,study,,,25.43323,-80.73357,,Long_Pine_Key,-1.545,
ABGL,SFWMD,,,,26.711,-80.72417,,,-1.385,
ALC,USGS,marine,NAVD88,,25.17555556,-80.7927778,,Gulf_Coast,-1.503,Alligator Creek
ALICO,SFWMD,weather,,,26.512833,-80.982,,,,SFWMD site ALICO_R
ANDYTOWN,SFWMD,,,,26.18213,-80.53305,,,-1.473,
ANGELS,SFWMD,,,,25.6216,-80.54237,6.29,,-1.562,
AR,NPS_BISC,marine,,Biscayne National,25.3865,-80.16292,,biscayne_bay,-1.552,
AR01,DERM,marine,,,25.26258,-80.42805,,biscayne_bay,-1.545,
AVEMARIA,SFWMD,weather,,,26.30166667,-81.43136111,,,,
AVONPARK,SFWMD,,,,27.58957,-81.51862,,,-0.968,
BA,NPS_ENP,marine,NAVD88,Everglades National,25.02663,-80.68137,-1.67,Western_Florida_Bay,-1.516,
BAR,USGS,marine,NAVD88,,25.86972,-81.3825,,Gulf_Coast,-1.368,
BARRON,USGS,,,,25.96547,-81.34972,,Big_Cypress,-1.375,
BARW4,,,,,25.99488,-81.34701,,,,
BARW6A,,,,,26.05119,-81.34464,,,,
BA_nexrad,SFWMD_synthetic,synthetic,,,25.02096,-80.67878,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10020789
BB,NPS_BISC,Marine,,Biscayne National,25.31828,-80.1844,,biscayne_bay,-1.555,
BB27,DERM,marine,,,25.73754,-80.1834,,biscayne_bay,-1.562,
BB28,DERM,marine,,,25.7292,-80.16025,,biscayne_bay,-1.568,
BB29,DERM,marine,,,25.71451,-80.21099,,biscayne_bay,-1.558,
BB31,DERM,marine,,,25.69377,-80.20761,,biscayne_bay,-1.558,
BB32,DERM,marine,,,25.68563,-80.18358,,biscayne_bay,-1.562,
BB34,DERM,marine,,,25.65146,-80.25889,,biscayne_bay,-1.539,
BB35,DERM,marine,,,25.64407,-80.19146,,biscayne_bay,-1.555,
BB36,DERM,marine,,,25.59996,-80.23627,,biscayne_bay,-1.535,
BB37,DERM,marine,,,25.57069,-80.19175,,biscayne_bay,-1.545,
BB38,DERM,marine,,,25.51972,-80.23931,,biscayne_bay,-1.535,
BB39A,DERM,marine,,,25.5175,-80.30056,,biscayne_bay,-1.529,
BB41,DERM,marine,,,25.47268,-80.28448,,biscayne_bay,-1.529,
BB42,DERM,marine,,,25.45691,-80.19956,,biscayne_bay,-1.545,
BB43,DERM,marine,,,25.39702,-80.23414,,biscayne_bay,-1.542,
BB44,DERM,marine,,,25.40116,-80.25534,,biscayne_bay,-1.539,
BB45,DERM,marine,,,25.36962,-80.27999,,biscayne_bay,-1.542,
BB46,DERM,marine,,,25.36962,-80.27999,,biscayne_bay,-1.542,
BB47,DERM,marine,,,25.33677,-80.32008,,biscayne_bay,-1.542,
BB48,DERM,marine,,,25.30858,-80.34889,,biscayne_bay,-1.545,
BB50,DERM,marine,,,25.22989,-80.37679,,biscayne_bay,-1.555,
BB51,DERM,marine,,,25.25151,-80.41409,,biscayne_bay,-1.545,
BB52,DERM,marine,,,25.55139,-80.30028,,biscayne_bay,-1.526,
BB53,DERM,marine,,,25.5,-80.31806,,biscayne_bay,-1.529,
BBCMW1,SFWMD,,NGVD29,,25.49277944,-80.36237778,4.21,C102,-1.529,BBCW Ground Water station
BBCMW2,SFWMD,,NGVD29,,25.49279361,-80.36090194,3.24,C102,-1.529,BBCW Ground Water station
BBCMW3,SFWMD,,NGVD29,,25.4928175,-80.35983806,3.97,C102,-1.529,BBCW Ground Water station
BBCMW4G1,SFWMD,,NGVD29,,25.49288917,-80.35459611,5.11,C102,-1.529,BBCW Shallow Ground Water station
BBCMW4G2,SFWMD,,NGVD29,,25.49288889,-80.35456667,4.88,C102,-1.529,BBCW Deep Ground Water station
BBCMW5G1,SFWMD,,NGVD29,,25.49291639,-80.35058861,4.5,C102,-1.529,BBCW Shallow Ground Water station
BBCMW5G2,SFWMD,,NGVD29,,25.49291944,-80.35057139,4.39,C102,-1.529,BBCW Deep Ground Water station
BBCMW6G1,SFWMD,,NGVD29,,25.49021861,-80.34852694,4.9,C102,-1.529,BBCW Shallow Ground Water station
BBCMW6G2,SFWMD,,NGVD29,,25.49019889,-80.34852722,4.85,C102,-1.529,BBCW Deep Ground Water station
BBCW1,SFWMD,,NGVD29,,25.56638389,-80.32387111,5.6,C2,-1.526,BBCW Deep Ground Water station
BBCW10,SFWMD,,NGVD29,,25.47215083,-80.33211278,,biscayne_bay,-1.529,BBCW Surface Water station
BBCW10GW1,SFWMD,,NGVD29,,25.47215722,-80.33211528,,biscayne_bay,-1.529,BBCW Deep Ground Water station
BBCW10GW2,SFWMD,,NGVD29,,25.47217222,-80.33211306,,biscayne_bay,-1.529,BBCW Shallow Ground Water station
BBCW2,SFWMD,,NGVD29,,25.50417,-80.3476,2.4,C102,-1.529,BBCW Deep Ground Water station
BBCW3GW1,SFWMD,,NGVD29,,25.48525222,-80.37959528,4.1,C103,-1.529,BBCW Deep Ground Water station
BBCW3GW2,SFWMD,,NGVD29,,25.48525222,-80.37959528,4.1,C103,-1.529,BBCW Shallow Ground Water station
BBCW4,SFWMD,,NGVD29,,25.45570167,-80.36739361,2.8,FLORIDA CITY,-1.532,BBCW Deep Ground Water station
BBCW5,SFWMD,,NGVD29,,25.44073917,-80.37963333,2.8,FLORIDA CITY,-1.532,BBCW Deep Ground Water station
BBCW6GW1,SFWMD,,NGVD29,,25.42985333,-80.43359194,2.9,MODEL LAND,-1.529,BBCW Deep Ground Water station
BBCW6GW2,SFWMD,,NGVD29,,25.42985028,-80.43356528,3.1,MODEL LAND,-1.529,BBCW Shallow Ground Water station
BBCW7GW1,SFWMD,,NGVD29,,25.60150528,-80.30951611,6.1,C100,-1.526,BBCW Deep Ground Water station
BBCW7GW2,SFWMD,,NGVD29,,25.60152722,-80.30950528,6.1,C100,-1.526,BBCW Shallow Ground Water station
BBCW8,SFWMD,,NGVD29,,25.60123806,-80.30577139,,biscayne_bay,-1.526,BBCW Surface Water station
BBCW8GW1,SFWMD,,NGVD29,,25.60123806,-80.30577083,-3.5,biscayne_bay,-1.526,BBCW Deep Ground Water station
BBCW8GW2,SFWMD,,NGVD29,,25.60125472,-80.3057675,-3.5,biscayne_bay,-1.526,BBCW Shallow Ground Water station
BBCW9GW1,SFWMD,,NGVD29,,25.47255111,-80.34688639,4,C103,-1.529,BBCW Deep Ground Water station
BBCW9GW2,SFWMD,,NGVD29,,25.47257111,-80.34689028,4,C103,-1.529,BBCW Shallow Ground Water station
BCBNAPLE,SFWMD,weather,,,26.22536111,-81.80813889,,,,
BD,NPS_ENP,marine,NGVD29,Everglades National,25.48447,-81.13342,,Gulf_Coast,-1.43,
BD_nexrad,SFWMD_synthetic,synthetic,,,25.48802,-81.11855,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10033090
BELLEGLADE,SFWMD,,,,26.65545,-80.62973,,,-1.411,
BERM_3,SFWMD,,NGVD29,,25.454534,-80.584909,,FROG POND,-1.568,"Concrete Weir, North end S332D, cell 5/flow way"
BICY,NPS_Big_Cypress,marsh,,Everglades National,25.8502,-80.98028,,Big_Cypress,-1.46,
BICY7,NPS_Big_Cypress,,,Big Cypress,26.18491,-81.55473,,Big_Cypress,-1.325,
BICYA1,NPS_Big_Cypress,,,Big Cypress,26.24842,-81.29512,13.53,Big_Cypress,-1.345,North Bear Island
BICYA10,NPS_Big_Cypress,,,Big Cypress,25.712014,-81.02192,3.02,Big_Cypress,-1.45,Gum Slough
BICYA11,NPS_Big_Cypress,,,Big Cypress,25.787618,-81.100113,3.86,Big_Cypress,-1.434,Sweetwater Strand
BICYA12,NPS_Big_Cypress,,,Big Cypress,26.189799,-81.086753,13.4,Big_Cypress,-1.371,Kissimmee Billy Strand
BICYA13,NPS_Big_Cypress,,,Big Cypress,26.091301,-81.05392,12.13,Big_Cypress,-1.398,Mullet Slough
BICYA14,NPS_Big_Cypress,,,Big Cypress,26.042835,-81.299925,9.7,Big_Cypress,-1.375,Deep Lake Strand
BICYA15,NPS_Big_Cypress,,NGVD29,Big Cypress,26.039595,-81.027118,11,Big_Cypress,-1.417,Aqua House
BICYA16,NPS_Big_Cypress,,NGVD29,Big Cypress,26.056579,-81.155954,10.7,Big_Cypress,-1.388,West Mud Lake
BICYA17,NPS_Big_Cypress,,NGVD29,Big Cypress,26.20495,-81.168463,13.43,Big_Cypress,-1.362,Little Marsh
BICYA18,NPS_Big_Cypress,,,,26.203883,-80.976875,12.69,Big_Cypress,-1.41,Cowbell Strand
BICYA19,NPS_Big_Cypress,,,,25.792803,-81.202418,1.62,Big_Cypress,,Gator Hook Strand
BICYA2,NPS_Big_Cypress,,,Big Cypress,26.194492,-81.288702,13.71,Big_Cypress,-1.355,East Hinson Marsh
BICYA20,NPS_Big_Cypress,,,Big Cypress,25.697089,-80.927681,4.26,Big_Cypress,-1.473,Lime Tree Hammock
BICYA3,NPS_Big_Cypress,,,Big Cypress,26.154962,-81.221919,13.29,Big_Cypress,-1.365,East Crossing Strand
BICYA4,NPS_Big_Cypress,,,Big Cypress,25.955781,-81.10384,7.7,Big_Cypress,-1.417,Monument Road
BICYA5,NPS_Big_Cypress,,,Big Cypress,25.966915,-80.926368,9.51,Big_Cypress,-1.453,Raccoon Point
BICYA6,NPS_Big_Cypress,,,Big Cypress,25.850446,-80.981029,6.5,Big_Cypress,-1.46,Bridge 105
BICYA7,NPS_Big_Cypress,,,Big Cypress,25.887044,-81.262017,2.5,Big_Cypress,-1.398,Bridge 84
BICYA8,NPS_Big_Cypress,,,Big Cypress,25.888808,-81.270255,2.5,Big_Cypress,-1.394,Bridge 83
BICYA9,NPS_Big_Cypress,,,Big Cypress,25.776762,-80.912224,6.96,Big_Cypress,-1.476,Pinecrest
BICY_PORTABLE_WS,NPS_Big_Cypress,weather,,Big Cypress,25.67,-80.86,,Big_Cypress,,collected through WeatherUnderground
BIG_CORKSCREW,NOAA,weather,,,26.3651,-81.5477,,,,USC00080735 - Station closed 11/2/2016
BIG_CYPRESS,NOAA,weather,,,26.32833,-80.99583,,,,USC00080737
BIG_CYPRESS_IR,NOAA,weather,,,26.31667,-81,,,,80739
BIG_CYPRESS_NR,weather_underground,weather,,Big Cypress,25.9,-81.318,,,,Near OCHOPEE
BIRDKEY_REEF,NPS_DRTO,marine,LOCAL,Dry Tortugas,24.61171,-82.87021,-43,,,
BISC00,NPS_BISC,marine,,Biscayne National,25.253,-80.414,0,biscayne_bay,-1.545,
BISC01,NPS_BISC,marine,,Biscayne National,25.253,-80.414,0,biscayne_bay,-1.545,
BISC02,NPS_BISC,marine,,Biscayne National,25.23672,-80.41103,0,biscayne_bay,-1.549,
BISC04,NPS_BISC,marine,,Biscayne National,25.233,-80.394,0,biscayne_bay,-1.552,
BISC05,NPS_BISC,marine,,Biscayne National,25.233,-80.394,0,biscayne_bay,-1.552,
BISC06,NPS_BISC,marine,,Biscayne National,25.283,-80.398,0,biscayne_bay,-1.545,
BISC08,NPS_BISC,marine,,Biscayne National,25.33,-80.315,0,biscayne_bay,-1.549,
BISC10,NPS_BISC,marine,,Biscayne National,25.396847,-80.234029,0,biscayne_bay,-1.542,
BISC12,NPS_BISC,marine,,Biscayne National,25.436,-80.301,0,biscayne_bay,-1.529,
BISC13,NPS_BISC,marine,,Biscayne National,25.436,-80.301,0,biscayne_bay,-1.529,
BISC14,NPS_BISC,marine,,Biscayne National,25.47361,-80.34003,0,biscayne_bay,-1.529,
BISC16,NPS_BISC,marine,,Biscayne National,25.47264,-80.33777,0,biscayne_bay,-1.529,
BISC18,NPS_BISC,marine,,Biscayne National,25.47878,-80.30886,0,biscayne_bay,-1.529,
BISC19,NPS_BISC,marine,,Biscayne National,25.47878,-80.30886,0,biscayne_bay,-1.529,
BISC20,NPS_BISC,marine,,Biscayne National,25.47103,-80.28453,0,biscayne_bay,-1.529,
BISC22,NPS_BISC,,,Biscayne National,25.49242,-80.33911,,,-1.529,
BISC24,NPS_BISC,marine,,Biscayne National,25.49133,-80.33694,0,biscayne_bay,-1.529,
BISC26,NPS_BISC,marine,,Biscayne National,25.48681,-80.3265,0,biscayne_bay,-1.529,
BISC28,NPS_BISC,marine,,Biscayne National,25.49844,-80.33875,0,biscayne_bay,-1.529,
BISC30,NPS_BISC,marine,,Biscayne National,25.498,-80.33627,0,biscayne_bay,-1.529,
BISC32,NPS_BISC,marine,,Biscayne National,25.49633,-80.32548,0,biscayne_bay,-1.529,
BISC34,NPS_BISC,marine,,Biscayne National,25.49353,-80.30908,0,biscayne_bay,-1.529,
BISC35,NPS_BISC,marine,,Biscayne National,25.49353,-80.30908,0,biscayne_bay,-1.529,
BISC36,NPS_BISC,marine,,Biscayne National,25.49472,-80.27836,0,biscayne_bay,-1.532,
BISC37,NPS_BISC,marine,,Biscayne National,25.49472,-80.27836,0,biscayne_bay,-1.532,
BISC40,NPS_BISC,marine,,Biscayne National,25.50533,-80.33577,0,biscayne_bay,-1.529,
BISC42,NPS_BISC,marine,,Biscayne National,25.50375,-80.334,0,biscayne_bay,-1.529,
BISC44,NPS_BISC,marine,,Biscayne National,25.51886,-80.30936,0,biscayne_bay,-1.529,
BISC45,NPS_BISC,marine,,Biscayne National,25.51886,-80.30936,0,biscayne_bay,-1.529,
BISC46,NPS_BISC,marine,,Biscayne National,25.52728,-80.30406,0,biscayne_bay,-1.526,
BISC46B,NPS_BISC,,,Biscayne National,25.52728,-80.30406,,,-1.526,
BISC48,NPS_BISC,marine,,Biscayne National,25.518,-80.284,0,biscayne_bay,-1.529,
BISC50,NPS_BISC,marine,,Biscayne National,25.54547,-80.31119,,biscayne_bay,-1.526,
BISC52,NPS_BISC,marine,,Biscayne National,25.54539,-80.30869,,biscayne_bay,-1.526,
BISC54,NPS_BISC,marine,,Biscayne National,25.545,-80.29,,biscayne_bay,-1.529,
BISC55,NPS_BISC,marine,,Biscayne National,25.545,-80.29,0,biscayne_bay,-1.529,
BISC56,NPS_BISC,marine,,Biscayne National,25.56444,-80.30531,0,biscayne_bay,-1.526,
BISC58,NPS_BISC,marine,,Biscayne National,25.56447,-80.30278,0,biscayne_bay,-1.526,
BISC60,NPS_BISC,marine,,Biscayne National,25.56428,-80.28417,0,biscayne_bay,-1.529,
BISC61,NPS_BISC,marine,,Biscayne National,25.56428,-80.28417,0,biscayne_bay,-1.529,
BISC62,NPS_BISC,marine,,Biscayne National,25.61225,-80.30583,0,biscayne_bay,-1.529,
BISC64,NPS_BISC,marine,,Biscayne National,25.61136,-80.30353,0,biscayne_bay,-1.526,
BISC66,NPS_BISC,marine,,Biscayne National,25.60408,-80.28922,0,biscayne_bay,-1.526,
BISC67,NPS_BISC,marine,,Biscayne National,25.60408,-80.28922,0,biscayne_bay,-1.526,
BISC68,NPS_BISC,marine,,Biscayne National,25.65128,-80.25958,0,biscayne_bay,-1.539,
BISC69,NPS_BISC,marine,,Biscayne National,25.65128,-80.25958,0,biscayne_bay,-1.539,
BISC70,NPS_BISC,marine,,Biscayne National,25.645,-80.247,0,biscayne_bay,-1.539,
BISC72,NPS_BISC,marine,,Biscayne National,25.65444,-80.15967,0,biscayne_bay,-1.565,
BISCA2,NPS_BISC,marine,LOCAL,Biscayne National,25.32186111,-80.34541667,,biscayne_bay,,
BISCA4,NPS_BISC,marine,LOCAL,Biscayne National,25.36459167,-80.28803611,,biscayne_bay,,
BISCA6,NPS_BISC,marine,LOCAL,Biscayne National,25.45211111,-80.33133333,,biscayne_bay,,
BISCA8,NPS_BISC,marine,LOCAL,Biscayne National,25.48127778,-80.33966667,,biscayne_bay,,
BISCAR,NPS_BISC,marine,,Biscayne National,25.38214,-80.16497,0,biscayne_bay,-1.552,
BISCB2,NPS_BISC,marine,LOCAL,Biscayne National,25.49547222,-80.33202778,,biscayne_bay,,
BISCB4,NPS_BISC,marine,LOCAL,Biscayne National,25.51011111,-80.33530556,,biscayne_bay,,
BISCB6,NPS_BISC,marine,LOCAL,Biscayne National,25.52727778,-80.32986111,,biscayne_bay,,
BISCB8,NPS_BISC,marine,LOCAL,Biscayne National,25.53852778,-80.31783333,,biscayne_bay,,
BISCBB,NPS_BISC,marine,,Biscayne National,25.31839,-80.18439,0,biscayne_bay,-1.555,
BISCBS,NPS_BISC,marine,,Biscayne National,25.48497,-80.14911,0,biscayne_bay,-1.552,
BISCC2,NPS_BISC,marine,LOCAL,Biscayne National,25.54586111,-80.31372222,,biscayne_bay,,
BISCC4,NPS_BISC,marine,LOCAL,Biscayne National,25.55505556,-80.30877778,,biscayne_bay,,
BISCC6,NPS_BISC,marine,LOCAL,Biscayne National,25.57425,-80.30263889,,biscayne_bay,,
BISCC8,NPS_BISC,marine,LOCAL,Biscayne National,25.58897222,-80.30697222,,biscayne_bay,,
BISCD2,NPS_BISC,marine,LOCAL,Biscayne National,25.61677778,-80.30127778,,biscayne_bay,,
BISCD4,NPS_BISC,marine,LOCAL,Biscayne National,25.61766667,-80.29075,,biscayne_bay,,
BISCD6,NPS_BISC,marine,LOCAL,Biscayne National,25.62097222,-80.29736111,,biscayne_bay,,
BISCD8,NPS_BISC,marine,LOCAL,Biscayne National,25.47061111,-80.20602778,,biscayne_bay,,
BISCTR,NPS_BISC,marine,,Biscayne National,25.49228,-80.10878,0,biscayne_bay,-1.558,
BISC_AM,NPS_SFCN,marine,,Biscayne National,25.35182,-80.17802,,,,
BISC_AR,NPS_BISC,marine,,Biscayne National,25.3865,-80.16292,0,biscayne_bay,-1.552,
BISC_BB,NPS_BISC,marine,,Biscayne National,25.31828,-80.1844,0,biscayne_bay,-1.555,
BISC_BB_SFCN,NPS_SFCN,marine,,BISC,25.318278,-80.184315,,,,This is the SFCN station BISC_BB
BISC_BS,NPS_BISC,marine,,Biscayne National,25.4862,-80.14797,0,biscayne_bay,-1.555,
BISC_CR,NPS_BISC,marine,,Biscayne National,25.3965,-80.24833,0,biscayne_bay,-1.542,
BISC_PR,NPS_BISC,marine,LOCAL,BISC,25.46632,-80.18953,,biscayne_bay,,Pernas Pond
BISC_TP,NPS_BISC,marine,,Biscayne National,25.47102,-80.28452,0,biscayne_bay,-1.529,
BISC_TR,NPS_BISC,marine,,Biscayne National,25.49228,-80.10878,0,biscayne_bay,-1.558,
BK,NPS_ENP,marine,NGVD29,Everglades National,25.12111,-80.83356,-0.4,Western_Florida_Bay,-1.483,"Coords updated 20120110 SPOT, DR"
BK_nexrad,SFWMD_synthetic,synthetic,,,25.11078,-80.83174,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10023151
BL,Audubon,marine,NGVD29,Everglades National,25.1613833,-80.9519333,,Cape_Sable,-1.46,Bear Lake
BL01,DERM,marine,,,25.53479,-80.32435,,biscayne_bay,-1.526,
BL02,DERM,marine,,,25.54121,-80.32843,,biscayne_bay,-1.526,
BN,NPS_ENP,marine,NAVD88,Everglades National,25.08668,-80.51904,,Eastern_Florida_Bay,-1.549,lat-long updated 2012-02-01 CLW
BN_nexrad,SFWMD_synthetic,synthetic,,,25.09282,-80.52581,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10022693
BOCA,SFWMD,,,,26.35352,-80.09083,,,-1.565,
BOT,USGS,marine,NAVD88,,25.46778,-80.85389,,Gulf_Coast,-1.516,Bottle Creek Upstream of Rookery Branch
BR,NPS_ENP,marine,NAVD88,Everglades National,25.47833,-80.98925,-4.14,Gulf_Coast,-1.453,
BRC,USGS,marine,NAVD88,,25.50147,-81.07708,,Gulf_Coast,-1.437,
BRD,USGS,Marine,LOCAL,,25.49806,-81.02194,0,Gulf_Coast,-1.447,
BRDG105,USGS,,,,25.84992,-80.98056,7.58,Big_Cypress,-1.46,
BRDG45,SFWMD,,,,25.76023,-80.62832,,,-1.542,
BRDG45_53,USGS,,,,25.75966,-80.5611,,,-1.552,
BRDG57,USGS,derivative,,Everglades National,25.760953,-80.527161,,,,Calculated BRDG57W-BRDG57E
BRDG57_E,USGS,,NGVD29,Everglades National,25.761389,-80.516667,,,,"East side of bridge 59, 02289085"
BRDG57_W,USGS,,NGVD29,Everglades National,25.761389,-80.536667,,,,"West side of bridge 59, 02289080"
BRDG84,USGS,,NGVD29,,25.88742222,-81.261675,,Big_Cypress,-1.398,Base gage for Monroe to Carnestown Discharge
BRDG86,USGS,,NGVD29,,25.87666667,-81.22823888,,Big_Cypress,-1.404,base gage until 1963 for Monroe to Carnestown Q
BRDROOK,SFWMD,weather,,,26.31522222,-81.6355,,,,
BRDU,USGS,marine,NAVD88,,25.51306,-80.93222,,Gulf_Coast,-1.473,
BRIGHTON_RES,NOAA,weather,,,27.0436,-81.0701,,,,USC00080992 - Station closed 11/2/2016
BROAD1_ET,USGS_EGERMAN,RESEARCH,,,25.51222,-80.93305,,,,
BROAD2_ET,USGS_EGERMAN,RESEARCH,,,25.54444,-80.96472,,,,
BRYGR,SFWMD,weather,,,26.697083,-81.485111,,,,SFWMD site BRYGR
BR_nexrad,SFWMD_synthetic,synthetic,,,25.47005,-80.9847,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10032623
BS,NPS_ENP,marine,NAVD88,Everglades National,25.17834,-80.43838,-1.79,Eastern_Florida_Bay,-1.545,
BSC,NPS_ENP,marine,NAVD88,Everglades National,25.26617,-81.16228,-3.94,Gulf_Coast,-1.424,NAVD 88 DTW 4.83 ft (Transfer from USGS 20121001)
BS_nexrad,SFWMD_synthetic,synthetic,,,25.18263,-80.43021,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10025068
BUIS_SFR,NPS_SFCN,marine,,Buck Island Reef,17.78529,-64.61009,,,,
BUIS_WSG,NPS_SFCN,marine,,Buck Island Reef,17.79899,-64.63579,,,,
BWTR,USGS,marine,LOCAL,,25.94819444,-81.58388889,,ten_thousand_islands,-1.329,Ten Thousand Islands inflow
C10A,SFWMD,,NGVD29,,26.91727833,-80.61338694,,L8,-1.217,LakeO Outflow Culvert at L8 (Sands Cut)
C111AE,SFWMD,,NGVD29,,25.39260139,-80.54161472,3.9,C111,-1.513,C111 SPREAD CANAL PHASE 1 EAST
C111AK5,SFWMD,,NGVD29,,25.40349722,-80.54196667,6.37,,-1.512,Data delivered to SFWMD by IFAS under contract.
C111AK6,SFWMD,,NGVD29,,25.39271389,-80.54943056,7.18,,-1.512,Data delivered to SFWMD by IFAS under contract.
C111AW,SFWMD,,NGVD29,,25.39318639,-80.55373472,3.97,C111,-1.581,C111 SPREAD CANAL PHASE 1 WEST
C111VC1,SFWMD,,NGVD29,,25.41821667,-80.55150833,6.19,,-1.511,Data delivered to SFWMD by IFAS under contract.
C111VC2,SFWMD,,NGVD29,,25.41109167,-80.55065,5.24,,-1.511,Data delivered to SFWMD by IFAS under contract.
C111W12,SFWMD,,NGVD29,,25.41474833,-80.52419778,6.13,,-1.512,"C-111 Spreader Canal Western Project Phase I"""
C111W14,SFWMD,,NGVD29,,25.41079306,-80.53364361,10.23,,-1.512,"C-111 Spreader Canal Western Project Phase I"""
C111W15,SFWMD,,NGVD29,,25.40364278,-80.51126611,3.83,,-1.514,"C-111 Spreader Canal Western Project Phase I"""
C111W16,SFWMD,,NGVD29,,25.40545917,-80.49940944,4.38,,-1.514,"C-111 Spreader Canal Western Project Phase I"""
C111W17,SFWMD,,NGVD29,,25.39855944,-80.53340083,6.43,,-1.513,"C-111 Spreader Canal Western Project Phase I"""
C111WL,USGS,marine,NAVD88,,25.29444,-80.52,,Eastern_Florida_Bay,-1.558,
C139A13,SFWMD,,NGVD29,,26.345245,-80.966574,,,-1.4,SamÂ JonesÂ Abiaka Prairie/C139Â AnnexÂ Restoratio
